",",[MASK]-Token,Top 1 Token,Top 1 Probability,Top 2 Token,Top 2 Probability,Top 3 Token,Top 3 Probability,Token = Probability,Top k =,Token < Probability,Top k <,Token > Probability,Top k >,Position Hit
\frac{197}{180}>386/763,>,{,0.8498411774635315,=,0.10888511687517166,(,0.007896906696259975,0.10888511687517166,2,1.860027259681374e-05,77,2.347224835830275e-06,228,NULL
\frac{-276}{-692}>745/-824,>,{,0.9135512113571167,-,0.04143078997731209,&,0.018223993480205536,0.002915786113590002,5,6.642106745857745e-05,19,2.872225195460487e-06,38,NULL
\frac{354}{783}>-460/993,>,(,0.23526985943317413,{,0.22579531371593475,=,0.15415945649147034,0.15415945649147034,3,3.100872618233552e-06,980,6.031735892975121e-07,2121,NULL
\frac{-505}{-991}>-948/491,>,{,0.9982120990753174,(,0.00030357768991962075,?,0.0002942367282230407,0.00026191180222667754,4,1.964302828127984e-05,11,7.617209973886929e-08,156,NULL
\frac{992}{365}>-579/684,>,=,0.4787282645702362,35,0.15047916769981384,{,0.09681146591901779,0.4787282645702362,1,0.001948695513419807,27,1.324360937360325e-06,1185,NULL
\frac{-261}{-766}>946/-286,>,-,0.9151119589805603,=,0.05560190603137016,+,0.016775188967585564,0.05560190603137016,2,4.70739223601413e-06,31,0.00036166151403449476,8,NULL
\frac{165}{-23}>-741/16,>,-,0.2698967158794403,29,0.13778825104236603,&,0.09355032444000244,0.08934973180294037,4,0.018936248496174812,11,3.593263681977987e-05,132,NULL
\frac{-843}{-959}>-951/468,>,{,0.9545615911483765,+,0.014507943764328957,2,0.008262483403086662,0.0017921795370057225,7,0.004838608205318451,4,4.781048573931912e-06,76,NULL
\frac{-944}{-914}>-169/349,>,{,0.9820064902305603,=,0.00507853040471673,.,0.004886658862233162,0.00507853040471673,2,0.0006208448321558535,7,1.4136839126877021e-05,43,NULL
\frac{-283}{-152}>-742/276,>,{,0.5052452683448792,s,0.08261663466691971,-,0.051254212856292725,0.0014833712484687567,31,0.0012866752222180367,34,4.3320619624864776e-06,987,NULL
\frac{844}{800}>-502/845,>,2,0.909349799156189,600,0.02331143245100975,=,0.016866538673639297,0.016866538673639297,3,0.0012216727482154965,13,2.0771415165654616e-06,191,NULL
\frac{-800}{-99}>874/955,>,=,0.5118849873542786,<,0.1745811551809311,{,0.10221154242753983,0.5118849873542786,1,0.1745811551809311,2,0.034326616674661636,5,NULL
\frac{-742}{916}>939/-253,>,.,0.6993650794029236,{,0.16450071334838867,-,0.05659956485033035,0.0038097247015684843,8,0.000602587650064379,14,4.6943827328504995e-05,38,NULL
\frac{683}{544}>-238/342,>,+,0.1825753003358841,=,0.14317277073860168,is,0.10364267230033875,0.14317277073860168,2,2.239510877188877e-06,1141,0.000162849435582757,141,NULL
\frac{320}{-442}>-563/546,>,{,0.9785994291305542,&,0.00777076743543148,+,0.0031023232731968164,0.001006938749924302,7,0.00019191297178622335,14,9.701645922177704e-07,187,NULL
\frac{-894}{-634}>-225/758,>,{,0.9431523084640503,=,0.01941731944680214,0,0.007111557759344578,0.01941731944680214,2,0.00024446574389003217,15,5.042161319579463e-07,196,NULL
\frac{446}{-939}>973/-737,>,-,0.9696767926216125,+,0.016978461295366287,{,0.004952184855937958,0.0011653827968984842,6,0.0029398591723293066,4,3.3098644053097814e-05,13,NULL
\frac{253}{529}>814/-252,>,{,0.9357806444168091,=,0.05172701179981232,&,0.003470487892627716,0.05172701179981232,2,1.2690278481386486e-06,62,1.9684227936522802e-07,143,NULL
\frac{375}{972}>245/-560,>,{,0.873324453830719,=,0.12497744709253311,(,0.0007616198854520917,0.12497744709253311,2,2.7682103791448753e-06,26,5.481406788021559e-06,19,NULL
\frac{622}{951}>263/-145,>,{,0.42057639360427856,%,0.2600359320640564,",",0.20844915509223938,0.08403894305229187,4,1.2126109140808694e-05,67,4.499403985391837e-06,124,NULL
\frac{112}{700}>123/-169,>,=,0.9781399965286255,{,0.011657681316137314,+,0.00724014500156045,0.9781399965286255,1,0.00012182507634861395,7,0.00026013326714746654,5,NULL
\frac{659}{241}>113/-417,>,{,0.6295139193534851,+,0.2514912784099579,=,0.04606204107403755,0.04606204107403755,3,1.2361283552309033e-07,628,1.9044500731979497e-07,492,NULL
\frac{500}{-452}>804/-224,>,{,0.4054895043373108,=,0.34350231289863586,\,0.23918384313583374,0.34350231289863586,2,4.737682104405394e-07,72,1.2525828424259089e-05,21,NULL
\frac{287}{222}>23/-910,>,=,0.6232383847236633,1,0.23309780657291412,25,0.08371786028146744,0.6232383847236633,1,2.8346510589472018e-05,98,0.0015628669643774629,13,NULL
\frac{-192}{-515}>-581/462,>,{,0.9995874762535095,?,9.506173228146508e-05,three,6.783409480703995e-05,1.5058552662594593e-06,27,1.7710726751829498e-05,7,4.7053916318873235e-08,144,NULL
\frac{818}{-385}>-958/269,>,1,0.7437905073165894,/,0.046966660767793655,.,0.041521359235048294,0.011438166722655296,8,0.003306085243821144,16,0.00013266049791127443,69,NULL
\frac{627}{41}>-334/938,>,",",0.16614913940429688,%,0.1648211032152176,+,0.13525888323783875,0.04092444106936455,7,0.00010871978884097189,203,3.792981942751794e-06,1203,NULL
\frac{-459}{-73}>-112/-25,>,{,0.9439562559127808,&,0.028713729232549667,/,0.010552297346293926,0.00022158432693686336,11,0.0005999300628900528,7,3.9182629052447737e-07,183,NULL
\frac{-153}{-342}>284/-233,>,t,0.2661575675010681,{,0.1637122631072998,s,0.0838165134191513,0.02258273772895336,9,2.6882864290200814e-07,2123,5.01438626088202e-06,508,NULL
\frac{-273}{-248}>-452/-780,>,/,0.7807646989822388,4,0.06352146714925766,more,0.062131237238645554,0.0013388681691139936,15,0.000168851314811036,28,7.484033267246559e-05,50,NULL
\frac{-444}{-204}>419/-501,>,+,0.33083346486091614,%,0.18088991940021515,{,0.16336464881896973,0.01670147106051445,9,0.00017718769959174097,36,0.0013688981998711824,20,NULL
\frac{944}{-831}>776/-217,>,%,0.4075203239917755,",",0.19933289289474487,{,0.16724568605422974,0.005158800631761551,7,6.423164450097829e-05,35,3.9653226849623024e-05,42,NULL
\frac{-708}{-879}>-200/598,>,{,0.9822172522544861,<,0.004257056396454573,),0.003181238193064928,0.00024656346067786217,14,0.004257056396454573,2,1.3217900232120883e-05,49,NULL
\frac{799}{433}>-384/246,>,29,0.45918336510658264,1,0.2828914225101471,=,0.10884366184473038,0.10884366184473038,3,1.2502214303822257e-05,158,7.53434778744122e-06,200,NULL
\frac{243}{34}>-851/701,>,=,0.284595251083374,),0.28333407640457153,<,0.04625910520553589,0.284595251083374,1,0.04625910520553589,3,4.569719294522656e-06,898,NULL
\frac{455}{134}>751/-8,>,{,0.5089284777641296,.,0.4559786915779114,=,0.016269223764538765,0.016269223764538765,3,8.850675214944204e-08,949,5.146930561750196e-06,99,NULL
\frac{351}{273}>289/-598,>,",",0.57505863904953,{,0.1742217242717743,-,0.08921946585178375,0.016391584649682045,7,5.940834171269671e-07,296,4.661302455133409e-07,339,NULL
\frac{34}{487}>5/-546,>,{,0.45589151978492737,-,0.3270687162876129,=,0.14539214968681335,0.14539214968681335,3,3.165233647450805e-05,24,6.17442638031207e-05,20,NULL
\frac{443}{-305}>-939/222,>,t,0.13238266110420227,h,0.13097332417964935,312,0.10941434651613235,0.03560568392276764,6,0.0039619822055101395,34,4.572963007376529e-06,2468,NULL
\frac{-361}{-857}>287/-791,>,{,0.9266306161880493,>,0.05536169931292534,",",0.008096449077129364,0.0026326992083340883,4,4.928903763357084e-06,49,0.05536169931292534,2,2
\frac{49}{746}>505/-163,>,{,0.5151534080505371,+,0.23291641473770142,=,0.23175935447216034,0.23175935447216034,3,0.000881529413163662,9,0.0005267659435048699,14,NULL
\frac{635}{-733}>956/-683,>,-,0.9344310164451599,.,0.030114449560642242,+,0.015232179313898087,0.002805539406836033,6,1.4863871911074966e-05,19,9.297725227952469e-06,24,NULL
\frac{145}{804}>323/-968,>,{,0.8262473344802856,",",0.12161628156900406,=,0.027139365673065186,0.027139365673065186,3,2.315744325187552e-07,175,3.815678155660862e-06,58,NULL
\frac{-311}{508}>-330/179,>,=,0.4054841101169586,{,0.3949105143547058,<,0.12981128692626953,0.4054841101169586,1,0.12981128692626953,3,3.0190431061782874e-05,90,NULL
\frac{968}{-746}>-592/133,>,{,0.9997424483299255,<,0.00016396952560171485,+,2.9947083021397702e-05,1.4453956964644021e-06,11,0.00016396952560171485,2,1.2518260206206833e-08,133,NULL
\frac{128}{568}>699/-101,>,{,0.9917425513267517,&,0.005546648055315018,%,0.001776674180291593,1.0137771823792718e-05,10,1.7215475267562397e-08,195,6.146157360831239e-09,340,NULL
\frac{-400}{-466}>724/-589,>,-,0.7262943387031555,+,0.2703501582145691,=,0.0018428666517138481,0.0018428666517138481,3,3.7222096693767526e-07,32,1.046568058882258e-06,24,NULL
\frac{693}{311}>-234/-833,>,=,0.7155208587646484,/,0.21155273914337158,(,0.03670189529657364,0.7155208587646484,1,0.00017428566934540868,26,4.628933311323635e-06,138,NULL
\frac{-396}{-695}>852/-339,>,=,0.8070889115333557,-,0.12541987001895905,{,0.049427129328250885,0.8070889115333557,1,0.002176623558625579,7,0.0026802076026797295,5,NULL
\frac{868}{187}>-325/884,>,=,0.3423493504524231,4,0.324077308177948,.,0.10130410641431808,0.3423493504524231,1,0.005166141781955957,14,0.0058758193626999855,13,NULL
\frac{718}{-516}>674/-158,>,{,0.859475314617157,=,0.11329866945743561,+,0.012468862347304821,0.11329866945743561,2,0.00011902557889698073,15,0.00028450036188587546,10,NULL
\frac{298}{567}>-763/829,>,-,0.9101982116699219,35,0.01512743066996336,{,0.010033064521849155,0.000766509328968823,22,3.5472314152684703e-07,1729,1.957918584594154e-06,681,NULL
\frac{857}{615}>937/-28,>,=,0.8466430306434631,.,0.08092862367630005,{,0.05194776505231857,0.8466430306434631,1,0.0017585454043000937,6,0.006471527274698019,4,NULL
\frac{-751}{-608}>193/482,>,",",0.6402984261512756,.,0.30106326937675476,{,0.027355073019862175,0.004909127485007048,5,0.0002141429140465334,13,0.00011790003190981224,24,NULL
\frac{487}{815}>-424/853,>,=,0.686880350112915,equals,0.10326839238405228,{,0.05730794742703438,0.686880350112915,1,0.0001368906523566693,67,1.0677074897103012e-05,219,NULL
\frac{389}{-870}>-621/437,>,+,0.32346785068511963,=,0.15139669179916382,.,0.10113877058029175,0.15139669179916382,2,0.011598829180002213,15,0.00016908325778786093,107,NULL
\frac{-843}{-283}>502/449,>,{,0.4616751968860626,.,0.3943934142589569,1,0.050838712602853775,0.00013269559713080525,39,6.149319688120158e-06,155,1.325781431660289e-05,108,NULL
\frac{-640}{-465}>-549/171,>,4,0.1755087822675705,40,0.15814442932605743,0,0.07523499429225922,0.006012376397848129,21,0.00033200852340087295,124,1.7377298718201928e-05,685,NULL
\frac{708}{-833}>391/-170,>,{,0.9977210164070129,⊆,0.0008654790581203997,-,0.00045385476551018655,0.00033183072810061276,4,2.2990883508100524e-07,52,1.6700029163985164e-06,25,NULL
\frac{-960}{-45}>-792/-224,>,{,0.5466728806495667,/,0.396584689617157,29,0.008504276163876057,0.006051122676581144,5,0.0002581616281531751,28,6.672211725344823e-07,639,NULL
\frac{-268}{-255}>-642/-853,>,/,0.9579265713691711,≈,0.005193182732909918,75,0.003874080488458276,0.0023346333764493465,8,0.002025032415986061,9,6.007616093484103e-07,534,NULL
\frac{-823}{-129}>975/-833,>,-,0.9946580529212952,%,0.0036623855121433735,=,0.0003673622850328684,0.0003673622850328684,3,1.207054538099328e-06,19,3.929516424250323e-06,17,NULL
\frac{701}{824}>-702/308,>,=,0.46874919533729553,add,0.10323631018400192,.,0.07957196980714798,0.46874919533729553,1,0.006412096321582794,14,2.3628252165508457e-05,349,NULL
\frac{596}{769}>-607/601,>,),0.7071664333343506,-,0.1125466451048851,(,0.06877785176038742,0.0027635651640594006,9,0.0004860105109401047,34,1.045462909132766e-06,668,NULL
\frac{-578}{977}>663/-544,>,=,0.8133336901664734,(,0.08468320220708847,{,0.031492188572883606,0.8133336901664734,1,4.654698568629101e-05,19,0.0007831788389012218,10,NULL
\frac{-452}{-880}>214/-695,>,=,0.551434338092804,{,0.32020482420921326,-,0.058208730071783066,0.551434338092804,1,2.1807454686495475e-05,29,4.515470664046006e-06,59,NULL
\frac{-79}{489}>970/-81,>,{,0.6748440265655518,-,0.20445264875888824,+,0.08263249695301056,0.015553721226751804,4,0.00012736218923237175,18,0.00013521246728487313,17,NULL
\frac{-784}{480}>345/-149,>,{,0.959062397480011,=,0.030617114156484604,%,0.007584196515381336,0.030617114156484604,2,4.192820142634446e-06,35,1.3395278074312955e-05,26,NULL
\frac{721}{381}>124/652,>,=,0.9263994097709656,{,0.040184926241636276,",",0.009136578068137169,0.9263994097709656,1,3.100972026004456e-05,33,0.007256075274199247,4,NULL
\frac{-940}{-716}>-774/357,>,{,0.9810099005699158,s,0.007084875833243132,-,0.0031275697983801365,0.00011677965812850744,13,0.0011843325337395072,6,1.4379191952684778e-06,219,NULL
\frac{234}{560}>-501/597,>,=,0.4498646855354309,-,0.14827679097652435,\,0.11116798222064972,0.4498646855354309,1,0.0008044588030315936,26,0.0006466165650635958,32,NULL
\frac{-71}{464}>178/-5,>,{,0.9392728209495544,+,0.0555453784763813,=,0.005053527653217316,0.005053527653217316,3,4.665338565246202e-06,6,5.421746323008847e-07,23,NULL
\frac{123}{225}>-308/135,>,=,0.9948946237564087,25,0.0010904766386374831,(,0.0005742568173445761,0.9948946237564087,1,2.0833687813137658e-05,24,8.800736281955324e-07,121,NULL
\frac{474}{438}>-495/-666,>,(,0.3139598071575165,scales,0.21838244795799255,=,0.17149178683757782,0.17149178683757782,3,0.0014007954159751534,44,0.0053961328230798244,17,NULL
\frac{717}{333}>-651/-793,>,=,0.4995710849761963,/,0.32411500811576843,equals,0.04119575396180153,0.4995710849761963,1,0.00011317892494844273,44,2.40840654441854e-05,86,NULL
\frac{788}{204}>-671/976,>,1,0.28669440746307373,=,0.11179430782794952,by,0.07792987674474716,0.11179430782794952,2,8.529761544195935e-05,166,3.8601797314186115e-07,1506,NULL
\frac{-278}{464}>-928/36,>,/,0.40130874514579773,=,0.18981356918811798,),0.10800676792860031,0.18981356918811798,2,0.009435473941266537,13,8.433799848717172e-06,382,NULL
\frac{697}{34}>-494/988,>,&,0.3331569731235504,{,0.11758341640233994,-,0.1031036302447319,0.00181945925578475,23,1.3813190946621035e-07,1363,1.797147319848591e-07,1194,NULL
\frac{-218}{-744}>-943/52,>,{,0.9809126257896423,-,0.013899269513785839,s,0.0012683538952842355,0.0001686306786723435,7,3.010984300999553e-06,84,1.3295871781338064e-07,368,NULL
\frac{-873}{-114}>-15/228,>,{,0.9968383312225342,4,0.0015552272088825703,+,0.0003368862671777606,8.888887532521039e-05,6,1.0200745919064502e-06,89,8.048503197244372e-09,801,NULL
\frac{-242}{954}>-404/310,>,=,0.9529418349266052,{,0.007859532721340656,4,0.004806892015039921,0.9529418349266052,1,8.838521171128377e-05,47,4.144151262153173e-07,518,NULL
\frac{-663}{780}>941/-189,>,-,0.9872288703918457,+,0.008771948516368866,\,0.0022773316595703363,0.0004331516392994672,4,9.652948307348197e-08,349,4.793632342625642e-06,43,NULL
\frac{799}{440}>-408/91,>,m,0.3284098505973816,",",0.10858754068613052,⊆,0.05590018257498741,0.006189312320202589,23,0.0005122732254676521,105,0.005950636696070433,24,NULL
\frac{715}{835}>-64/579,>,{,0.8272539377212524,factor,0.028817027807235718,=,0.025731444358825684,0.025731444358825684,3,2.3772141503286548e-05,181,2.1484297576535027e-06,536,NULL
\frac{-476}{-619}>-647/490,>,{,0.9600273966789246,s,0.030105626210570335,(,0.0023549827747046947,0.0019632456824183464,4,3.580916745704599e-05,20,9.522991035737505e-07,89,NULL
\frac{181}{991}>515/-164,>,{,0.9998384714126587,",",8.822380914352834e-05,-,4.156629438512027e-05,2.281069555465365e-06,7,8.266365512099583e-07,11,2.895643831379857e-07,17,NULL
\frac{504}{435}>-984/584,>,1,0.41683849692344666,435,0.21306031942367554,(,0.08156543225049973,0.007117822766304016,11,1.0251579851683346e-06,2515,2.1978687072987668e-05,448,NULL
\frac{509}{-934}>572/-67,>,{,0.9265636801719666,.,0.034334830939769745,-,0.03316858038306236,0.0011026834836229682,4,1.671649624768179e-05,28,6.79268705425784e-05,18,NULL
\frac{708}{7}>67/-275,>,{,0.8721014857292175,=,0.08371411263942719,",",0.035987962037324905,0.08371411263942719,2,9.326522558694705e-06,29,1.752084972395096e-05,19,NULL
\frac{350}{727}>838/-197,>,{,0.7195053696632385,=,0.23673789203166962,\,0.020374039188027382,0.23673789203166962,2,3.5322682379046455e-05,17,3.129765536868945e-05,18,NULL
\frac{-79}{-590}>-540/813,>,(,0.2976858615875244,},0.24247409403324127,540,0.0442454069852829,0.0008679740712977946,65,0.00015151269326452166,218,0.0006983632338233292,76,NULL
\frac{-418}{-32}>732/-551,>,-,0.7017704844474792,&,0.1569392830133438,.,0.08899949491024017,0.000583986344281584,10,1.0560547707427759e-05,55,1.8526332496549003e-05,41,NULL
\frac{-811}{-261}>-930/-445,>,40,0.7236025333404541,-,0.05673344060778618,4,0.03463408723473549,0.017959773540496826,5,0.0008215571288019419,34,2.3447904823115095e-05,176,NULL
\frac{633}{148}>-454/-231,>,/,0.25740230083465576,:,0.15615394711494446,m,0.14425872266292572,0.12053679674863815,4,0.00016570799925830215,107,7.902199286036193e-06,506,NULL
\frac{664}{190}>-260/-898,>,=,0.4241563379764557,[UNK],0.15467430651187897,add,0.033380236476659775,0.4241563379764557,1,0.0010573017643764615,59,1.1771971003327053e-05,677,NULL
\frac{-127}{-679}>662/-380,>,{,0.5319443345069885,=,0.26117315888404846,-,0.16590824723243713,0.26117315888404846,2,2.8613931135623716e-05,21,2.5914858269970864e-05,24,NULL
\frac{578}{36}>-31/669,>,=,0.5828904509544373,{,0.18103452026844025,(,0.10761924833059311,0.5828904509544373,1,9.389917249791324e-05,72,1.6878389942576177e-05,176,NULL
\frac{-524}{-1}>741/-132,>,{,0.38222429156303406,=,0.24561001360416412,-,0.21226805448532104,0.24561001360416412,2,2.7275984393781982e-05,68,6.242749077500775e-05,40,NULL
\frac{383}{-280}>-419/34,>,{,0.992867112159729,-,0.0023518491070717573,s,0.0016664039576426148,2.847871473932173e-05,20,1.0112524250871502e-05,36,6.97432142260368e-07,127,NULL
\frac{193}{587}>-155/945,>,=,0.24751271307468414,{,0.16806267201900482,s,0.13910208642482758,0.24751271307468414,1,8.825193799566478e-05,266,1.1698435855578282e-06,2437,NULL
\frac{461}{-410}>-441/152,>,{,0.9400936365127563,r,0.019574984908103943,+,0.00992195587605238,0.0015003129374235868,8,6.177967588882893e-05,43,1.1074521353293676e-05,91,NULL
\frac{-912}{-190}>129/-157,>,{,0.9085294604301453,-,0.0426795519888401,%,0.013404419645667076,0.0004246222379151732,16,2.0042532469233265e-06,294,1.528133543615695e-05,111,NULL
\frac{-443}{-891}>100/-741,>,{,0.942278265953064,\,0.012458503246307373,<,0.009342902339994907,5.478143066284247e-05,25,0.009342902339994907,3,0.0003501812752801925,15,NULL
\frac{282}{-619}>319/-197,>,=,0.5723156929016113,",",0.29738104343414307,\,0.052183110266923904,0.5723156929016113,1,0.00010929488053079695,19,0.00041890618740580976,11,NULL
\frac{972}{338}>-616/-603,>,/,0.9846140146255493,→,0.0032111876644194126,35,0.0024528270587325096,4.538223220151849e-05,22,1.921055847731168e-08,2034,3.1248719167820127e-09,4947,NULL
\frac{-11}{-425}>-889/194,>,4,0.7958073616027832,{,0.050447653979063034,2,0.027112944051623344,0.0030421505216509104,12,0.00026982318377122283,46,1.3812487509312632e-07,1973,NULL
\frac{1}{110}>558/-864,>,.,0.7882280349731445,+,0.08051611483097076,-,0.049679432064294815,0.009579419158399105,5,5.418635919340886e-05,41,2.9373181860137265e-06,129,NULL
\frac{975}{60}>-288/874,>,=,0.9779719114303589,≈,0.010969877243041992,is,0.0014182752929627895,0.9779719114303589,1,4.189513731489569e-07,393,9.702153874968644e-06,81,NULL
\frac{170}{-644}>-818/157,>,{,0.9512446522712708,-,0.024881085380911827,+,0.013182575814425945,0.0012098448351025581,6,0.0023092790506780148,5,9.640392590881675e-07,98,NULL
\frac{414}{936}>938/-663,>,{,0.9846621751785278,.,0.005176966544240713,40,0.0016387059586122632,0.0003640039067249745,9,2.4785145797068253e-05,45,2.6249677830492146e-05,42,NULL
\frac{-236}{-138}>518/-613,>,-,0.7624139785766602,~,0.15852072834968567,+,0.05050061270594597,0.004228263162076473,6,1.1042276355510694e-06,110,0.00011369091225787997,21,NULL
\frac{-449}{927}>-301/259,>,1,0.45411646366119385,4,0.17500437796115875,##1,0.06299466639757156,0.002718335948884487,20,1.770993367244955e-05,154,2.578690043719689e-07,1035,NULL
\frac{329}{-586}>-512/388,>,{,0.9679681062698364,-,0.02500779554247856,=,0.0032855968456715345,0.0032855968456715345,3,4.378604717203416e-05,16,1.4332375712911016e-06,83,NULL
\frac{-824}{-392}>-197/964,>,{,0.7380523681640625,odd,0.04634610190987587,f,0.03724571689963341,0.0022973099257797003,23,0.0030569967348128557,16,2.2428581360145472e-05,321,NULL
\frac{-748}{-645}>-790/249,>,{,0.9896034002304077,<,0.006342739332467318,=,0.0016262648859992623,0.0016262648859992623,3,0.006342739332467318,2,3.463384246060741e-07,99,NULL
\frac{452}{383}>262/-770,>,{,0.9984959363937378,+,0.000655738462228328,=,0.0005035048816353083,0.0005035048816353083,3,1.2620314464584226e-06,41,2.720996235439088e-06,20,NULL
\frac{-115}{-237}>-5/602,>,2,0.8018665313720703,1,0.09098716080188751,.,0.04323606565594673,0.0009549786918796599,14,7.488964683943777e-07,612,8.811134932784626e-08,1351,NULL
\frac{346}{348}>-499/548,>,=,0.3050301969051361,{,0.22527667880058289,(,0.09935043007135391,0.3050301969051361,1,0.00038019896601326764,78,8.019304914341774e-06,655,NULL
\frac{-214}{-543}>-36/970,>,{,0.981752872467041,=,0.013463104143738747,-,0.0009879644494503736,0.013463104143738747,2,1.202065732286428e-06,55,1.670214899718303e-08,279,NULL
\frac{-414}{-83}>987/708,>,-,0.7682828307151794,%,0.09765049070119858,=,0.038100551813840866,0.038100551813840866,3,2.3769758627167903e-05,46,0.0005149770877324045,16,NULL
\frac{202}{685}>-872/514,>,=,0.5762572288513184,2,0.3187181353569031,1,0.04008881375193596,0.5762572288513184,1,0.010940885171294212,5,1.1173577149747871e-05,113,NULL
\frac{637}{448}>668/761,>,{,0.9988640546798706,=,0.0005963093135505915,&,0.00039006126462481916,0.0005963093135505915,2,4.057892795117368e-07,11,3.2427742713281305e-09,83,NULL
\frac{458}{652}>113/-736,>,{,0.999990701675415,&,4.50098559667822e-06,(,2.386286951150396e-06,4.1960097973969823e-07,6,2.2580568526109346e-08,13,4.2673028999296037e-10,43,NULL
\frac{-650}{-604}>-84/-747,>,{,0.9709331393241882,},0.009580357931554317,\,0.005410357844084501,0.00012430260539986193,12,0.0008124120649881661,7,2.0554327306854248e-07,440,NULL
\frac{-749}{-434}>-13/68,>,{,0.9908953905105591,+,0.005659660790115595,&,0.0015940286684781313,0.0005146781913936138,5,0.0001439957704860717,6,2.175299869122682e-06,39,NULL
\frac{-589}{-47}>753/-620,>,-,0.6432176828384399,+,0.20420557260513306,=,0.11854656785726547,0.11854656785726547,3,0.0006538089946843684,10,0.002062529791146517,6,NULL
\frac{930}{305}>-994/-713,>,31,0.4329437017440796,95,0.08245383948087692,67,0.06167956069111824,0.00037102174246683717,105,0.001437450060620904,43,8.634991900180466e-06,715,NULL
\frac{597}{-840}>990/-755,>,-,0.9863752722740173,",",0.006406595930457115,=,0.0036038924008607864,0.0036038924008607864,3,4.6931141696404666e-05,10,3.4183170782853267e-07,38,NULL
\frac{-860}{-351}>362/-772,>,{,0.5082614421844482,-,0.18428173661231995,.,0.09492363780736923,0.08683990687131882,4,1.3962972843728494e-05,56,2.963198312500026e-05,40,NULL
\frac{-319}{993}>-822/663,>,33,0.7280340790748596,/,0.0757918730378151,36,0.04826316237449646,0.014564520679414272,5,0.00016554442117922008,71,5.26541271028691e-06,318,NULL
\frac{586}{703}>64/-638,>,{,0.9991797804832458,&,0.00042606607894413173,=,0.00016180466627702117,0.00016180466627702117,3,4.604829882737249e-06,10,3.9896917769510765e-08,66,NULL
\frac{-327}{-790}>936/-360,>,-,0.6978961229324341,.,0.2527380883693695,{,0.027827011421322823,0.005088227801024914,5,0.00014753424329683185,13,1.937664819706697e-06,54,NULL
\frac{-174}{-736}>-295/909,>,{,0.9346274733543396,f,0.047114379703998566,0,0.006091738119721413,0.0024674234446138144,4,2.383572336839279e-06,117,1.2199083130326471e-06,161,NULL
\frac{-109}{-992}>-541/421,>,{,0.5404707193374634,+,0.10123109072446823,=,0.09482061117887497,0.09482061117887497,3,0.0018407695461064577,21,0.0001018605034914799,61,NULL
\frac{-779}{-1}>-359/-555,>,=,0.3601611852645874,/,0.187498539686203,m,0.131125345826149,0.3601611852645874,1,8.73540120664984e-05,115,0.0005230899550952017,51,NULL
\frac{394}{649}>895/-448,>,{,0.9999847412109375,=,5.662700004904764e-06,+,5.347100795916049e-06,5.662700004904764e-06,2,3.328270850033732e-07,8,1.7139135666255356e-09,35,NULL
\frac{-462}{-458}>-618/323,>,{,0.9830280542373657,<,0.006441072095185518,=,0.001710735959932208,0.001710735959932208,3,0.006441072095185518,2,7.084202479745727e-06,68,NULL
\frac{-862}{-403}>753/880,>,.,0.6669903993606567,-,0.2561940550804138,=,0.04150782898068428,0.04150782898068428,3,3.9233751181200205e-07,436,9.958006558008492e-06,101,NULL
\frac{565}{382}>261/421,>,{,0.9987579584121704,=,0.0006125968648120761,+,0.00016075742314569652,0.0006125968648120761,2,1.101081625876077e-08,261,6.391006763806217e-07,39,NULL
\frac{-407}{-107}>-235/-321,>,4,0.42562222480773926,=,0.39397796988487244,2,0.09484823048114777,0.39397796988487244,2,0.001450476935133338,18,0.0028607179410755634,10,NULL
\frac{359}{513}>749/-939,>,{,0.9999175071716309,var,2.4053992092376575e-05,=,2.190681880165357e-05,2.190681880165357e-05,3,1.8924927402963476e-08,98,4.543191209904762e-07,23,NULL
\frac{-609}{-488}>-59/-846,>,{,0.996253490447998,-,0.0009069939260371029,(,0.0005649878876283765,8.804960816632956e-05,12,3.2005631510401145e-05,18,2.18457353184931e-06,71,NULL
\frac{-534}{-620}>-539/283,>,{,0.8774384260177612,(,0.03293871134519577,/,0.017173446714878082,0.0002018095547100529,39,8.353580597031396e-06,286,1.0238774166282383e-06,842,NULL
\frac{209}{131}>-863/531,>,=,0.4160519242286682,/,0.11793196946382523,),0.06653600186109543,0.4160519242286682,1,0.003942118026316166,26,0.0002811871818266809,115,NULL
\frac{-744}{-174}>-213/125,>,=,0.2735213339328766,(,0.2596507966518402,com,0.12710101902484894,0.2735213339328766,1,0.0032140840776264668,19,7.155887260523741e-07,1549,NULL
\frac{-277}{-926}>-449/614,>,{,0.9675809741020203,-,0.017198747023940086,<,0.004968103487044573,8.314105798490345e-05,20,0.004968103487044573,3,7.411147089442238e-05,21,NULL
\frac{563}{1}>-927/-428,>,-,0.9461767077445984,/,0.044621966779232025,(,0.002628116635605693,2.721539385674987e-05,30,3.931288716785275e-08,435,3.5411929388828867e-08,460,NULL
\frac{273}{654}>-771/405,>,1,0.2754223048686981,x,0.19545158743858337,odd,0.08909860253334045,0.00011986638855887577,169,9.631842658563983e-06,679,1.9191683975350315e-07,4616,NULL
\frac{424}{897}>348/-650,>,{,0.935701310634613,=,0.0566089041531086,+,0.007220443803817034,0.0566089041531086,2,5.220111233938951e-06,18,2.0341640265542082e-05,9,NULL
